Type,Theme,Disaggregates,Unit,Actual,Indicator ID,Data Source,E2A Questions Reference,Target,Indicator,Last Exported
Outcome,Effectiveness,Economy; reform type; workstream,Number,0,OC1,"Official government policies, regulations, or public announcements confirming reform adoption, supported by program activity documentation",['recGtsEJnolMagsrH'],20,OC1: Number of policy or regulatory reforms adopted by APEC economies as a result of U.S. support,2026-09-06T11:26:34Z
Outcome,Effectiveness,Economy; framework type; workstream,Number,0,OC2,"Government policies, regulations, or official statements confirming adoption of U.S.-aligned frameworks or best practices",['recfV1M9SC44JZDhF'],15,OC2: Percentage of APEC economies adopting U.S.-aligned governance frameworks or best practices,2026-09-06T11:26:34Z
Output,Effectiveness,Economy; workstream; sex; participant type,Number,2865,OT1,Training attendance records and training agendas,['recGtsEJnolMagsrH'],50000,OT1: Person hours of USG-supported training completed in trade and investment (EG.2-1),2026-09-06T11:26:34Z
Output,Effectiveness,U.S. FA objective; PSE modality; economy; workstream,Number,16,OT2,"Engagement logs, meeting agendas, and documentation confirming joint activities with private sector partners",['recfV1M9SC44JZDhF'],75,OT2: Number of USG engagements jointly undertaken with private sector enterprises (PSE-1),2026-09-06T11:26:34Z
Outcome,Alignment,Economy; workstream; alignment type,Percent,0,OC3,"Program activity reports, government policy documents, and confirmation from participating economy representatives",['recemgWr1OtaQ98BT'],60,OC3: Percentage of APEC initiatives under US APEC-RISE that resulted in participating APEC economies aligning policies or practices with U.S.-backed reforms.,2026-09-06T11:26:34Z
Output,Alignment,Workstream; communication type,Number,5,OT3,"Official APEC policy documents, communiqués, meeting minutes, or program reports referencing program initiatives",['recemgWr1OtaQ98BT'],30,"OT3: Number of US APEC-RISE initiatives referenced or reflected in official APEC policy documents, statements, or communiqués",2026-09-06T11:26:34Z
Outcome,Engagement,Business size; support type; opportunity type,Percent,0,OC4,Structured feedback or surveys from U.S. private sector partners participating in program activities,['recTwucvb7MEyEfvN'],80,OC4: Percentage of U.S. private sector partners reporting U.S.-supported technical assistance expanded opportunities for business growth and market engagement in APEC economies,2026-09-06T11:26:34Z
Outcome,Engagement,Stakeholder type; connection type; economy; workstream,Number,8,OC5,"Event reports, meeting records, post-activity surveys, or documented introductions confirming new connections",['recTwucvb7MEyEfvN'],50,OC5: Number of new connections or networks facilitated for the public or private sector through US APEC-RISE activities,2026-09-06T11:26:34Z
Output,Engagement,PSE type; PSE origin; PSE size; economy; workstream,Number,66,OT4,"Engagement logs, meeting records, or program documentation confirming private sector collaboration",['recTwucvb7MEyEfvN'],120,OT4: Number of private sector enterprises that engaged with the USG to support U.S. Foreign Assistance objectives (PSE-2),2026-09-06T11:26:34Z
Outcome,Responsibility,Economy; institution type; input type; workstream,Number,0,OC6,"Follow-up surveys, key informant interviews, monitoring visits, or institutional reports confirming sustained use",['recNBayeVK0EqLEhc'],20,"OC6: Number of local institutions demonstrating continued use of U.S.-supported tools, technical knowledge, or practices",2026-09-06T11:26:34Z
Outcome,Responsibility,Economy; barrier type; adaptive action type; workstream,Percent,0,OC7,"Program records, reform tracking logs, stakeholder consultations, and documentation confirming barrier resolution",['recNBayeVK0EqLEhc'],70,OC7: Percentage of identified barriers to reform adoption successfully resolved through adaptive actions,2026-09-06T11:26:34Z
Output,Responsibility,Resource type; resource origin; objective addressed; economy; workstream,USD,180428,OT5,"Formal agreements, partnership records, or letters of commitment documenting private sector contributions",['recNBayeVK0EqLEhc'],1500000,OT5: Value of private sector resource commitments to support U.S. Foreign Assistance Objectives (PSE-4),2026-09-06T11:26:34Z
