Indicator ID,Workshop,Workshop (Name),Workshop Date,Sex,Economy,Economy (Name),Fiscal Year,Other Economy,Organization,Workstream,Workstream (Name),Last Updated
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-26,Male,Thailand,Unknown,FY25,Unknown,The Federation of Thai Industries,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Canada,Unknown,FY25,Unknown,SCC,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Canada,Unknown,FY25,Unknown,SCC,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Republic of Korea,Unknown,FY25,Unknown,Korea testing laboratory,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Republic of Korea,Unknown,FY25,Unknown,Korea testing laboratory,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Thailand,Unknown,FY25,Unknown,TISI,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Thailand,Unknown,FY25,Unknown,TISI,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Thailand,Unknown,FY25,Unknown,Thai Industrial Standards Institute,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Thailand,Unknown,FY25,Unknown,Thai Industrial Standards Institute,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Other,Unknown,FY25,Guest,Japanese Standards Association Group,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,United States of America,Unknown,FY25,Unknown,ASTM International ,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Other,Unknown,FY25,Singapore,Stendard,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,United States of America,Unknown,FY25,Unknown,NIST,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Indonesia,Unknown,FY25,Unknown,National Standardization Agency,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Indonesia,Unknown,FY25,Unknown,National Standardization Agency,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Indonesia,Unknown,FY25,Unknown,National Standardization Agency,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Australia,Unknown,FY25,Unknown,Standards Australia,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Australia,Unknown,FY25,Unknown,Standards Australia,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,People's Republic of China,Unknown,FY25,Unknown,CATARC,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Other,Unknown,FY25,GUEST,OECD,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Malaysia,Unknown,FY25,Unknown,Department of Standards Malaysia,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Malaysia,Unknown,FY25,Unknown,Department of Standards Malaysia,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Viet Nam,Unknown,FY25,Unknown,STAMEQ,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Other,Unknown,FY25,Na,INCOSE SG Chapter,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Other,Unknown,FY25,Na,INCOSE SG Chapter,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Viet Nam,Unknown,FY25,Unknown,STAMEQ,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Canada,Unknown,FY25,Unknown,Standards Council of Canada,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Canada,Unknown,FY25,Unknown,Standards Council of Canada,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,Malaysia,Unknown,FY25,Unknown,Malaysian Communications and Multimedia Commission,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Canada,Unknown,FY25,Unknown,Standards council of canada,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Canada,Unknown,FY25,Unknown,Standards council of canada,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Singapore,Unknown,FY25,Unknown,Enterprise singapore,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,The Philippines,Unknown,FY25,Unknown,Bureau of Philippine Standards,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,The Philippines,Unknown,FY25,Unknown,Bureau of Philippine Standards,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,The Philippines,Unknown,FY25,Unknown,Department of Trade and Industry,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,The Philippines,Unknown,FY25,Unknown,Department of Trade and Industry,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,The Philippines,Unknown,FY25,Unknown,Department of Trade and Industry,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Female,New Zealand,Unknown,FY25,Unknown,Ministry Primary Industries,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Malaysia,Unknown,FY25,Unknown,DSM MALAYSIA,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Malaysia,Unknown,FY25,Unknown,DSM MALAYSIA,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Malaysia,Unknown,FY25,Unknown,Dept. of Standards Malaysia,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,Workshop on Digital Standards: Shaping the Future of Standardization,Unknown,2025-07-27,Male,Papua New Guinea,Unknown,FY25,Unknown,National Information & Communications Technology Authoruty,recO6Wye9q46CaYxb,Digital Standards,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Chile,Unknown,FY25,Unknown,Agricultural and livestock Chile,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Male,Other,Unknown,FY25,World Trade Organization,World Trade Organization,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,The Philippines,Unknown,FY25,Unknown,Department of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,The Philippines,Unknown,FY25,Unknown,Department of Trade and Industry,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
OT1,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Unknown,2025-07-28,Female,Indonesia,Unknown,FY25,Unknown,National Standardization Agency,recqvqMEpTfZTKevx,Technical Barriers to Trade,2025-08-01T09:28:48.006172
