Firm (Name),Indicator ID,Economy (Name),Workstream (Name),Engagement (Name),Amount,Fiscal Year,U.S. FAOs Addressed,Resource Type,Resource Origin,Contribution Date,Export Timestamp
Codomo,OT5,Chinese Taipei,Digital Trade,Digital Trade Policy Dialogue,1356.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-08-06,2026-02-23T07:48:16.912658
Davidson Technologies,OT5,U.S.,Digital Standards,Workshop on Digital Standards: Shaping the Future of Standardization,2275.5,FY25,Economic Growth (Other),In-kind,US-based,2025-07-27,2026-02-23T07:48:16.912658
Boeing,OT5,U.S.,Digital Standards,Workshop on Digital Standards: Shaping the Future of Standardization,2275.5,FY25,Economic Growth (Other),In-kind,US-based,2025-07-27,2026-02-23T07:48:16.912658
Kinobi,OT5,Chinese Taipei,Digital Trade,Digital Trade Policy Dialogue,1237.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-08-06,2026-02-23T07:48:16.912658
Samsung,OT5,Malaysia,GRP,APEC 18th GRP Conference,613.5,FY25,Economic Growth (Other),In-kind,Host Country-based,2025-08-06,2026-02-23T07:48:16.912658
Kim & Chang,OT5,Malaysia,GRP,APEC 18th GRP Conference,613.5,FY25,Economic Growth (Other),In-kind,Host Country-based,2025-08-06,2026-02-23T07:48:16.912658
IBM,OT5,U.S.,Digital Trade,Digital Trade Policy Dialogue,2156.5,FY25,Economic Growth (Other),In-kind,US-based,2025-08-06,2026-02-23T07:48:16.912658
Amazon,OT5,U.S.,Cloud Computing,Workshop on Advancing Cloud Transformation,2037.5,FY25,Economic Growth (Other),In-kind,US-based,2025-07-31,2026-02-23T07:48:16.912658
Walmart,OT5,U.S.,TBT,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,1691.75,FY25,Economic Growth (Other),In-kind,US-based,2025-08-01,2026-02-23T07:48:16.912658
Walmart,OT5,U.S.,Supply Chains,APEC 17th A2C2 Meeting,1691.75,FY25,Economic Growth (Other),In-kind,US-based,2025-08-02,2026-02-23T07:48:16.912658
Asia Pacific Services Coalition,OT5,Australia,Services,APEC Workshop on Services Technical Standards Development: The Process and Impact,1535.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-08-05,2026-02-23T07:48:16.912658
American Chemistry Council,OT5,U.S.,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,1137.75,FY25,Economic Growth (Other),In-kind,US-based,2025-08-01,2026-02-23T07:48:16.912658
American Chemistry Council,OT5,U.S.,Supply Chains,APEC 17th A2C2 Meeting,1137.75,FY25,Economic Growth (Other),In-kind,US-based,2025-08-02,2026-02-23T07:48:16.912658
Stendard ,OT5,Chinese Taipei,Digital Standards,Workshop on Digital Standards: Shaping the Future of Standardization,1237.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-07-27,2026-02-23T07:48:16.912658
Codit,OT5,Malaysia,Cloud Computing,Workshop on Advancing Cloud Transformation,732.5,FY25,Economic Growth (Other),In-kind,Host Country-based,2025-07-31,2026-02-23T07:48:16.912658
Amazon,OT5,U.S.,GRP,APEC 18th GRP Conference,1998.5,FY25,Economic Growth (Other),In-kind,US-based,2025-08-06,2026-02-23T07:48:16.912658
Dow,OT5,U.S.,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,1137.75,FY25,Economic Growth (Other),In-kind,US-based,2025-07-30,2026-02-23T07:48:16.912658
Dow,OT5,U.S.,Supply Chains,APEC 17th A2C2 Meeting,1137.75,FY25,Economic Growth (Other),In-kind,US-based,2025-08-02,2026-02-23T07:48:16.912658
Visa,OT5,U.S.,Digital Trade,Digital Trade Policy Dialogue,1998.5,FY25,Economic Growth (Other),In-kind,US-based,2025-08-06,2026-02-23T07:48:16.912658
United States Council for International Business ,OT5,U.S.,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,1998.5,FY25,Economic Growth (Other),In-kind,US-based,2025-08-01,2026-02-23T07:48:16.912658
A2Z,OT5,Malaysia,GRP,APEC 18th GRP Conference,613.5,FY25,Economic Growth (Other),In-kind,Host Country-based,2025-08-06,2026-02-23T07:48:16.912658
Consultores Internacionales Ansley    ,OT5,New Zealand,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2476.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-08-01,2026-02-23T07:48:16.912658
Crowell & Moring LLP,OT5,U.S.,Cloud Computing,Workshop on Advancing Cloud Transformation,1998.5,FY25,Economic Growth (Other),In-kind,US-based,2025-07-31,2026-02-23T07:48:16.912658
Kim & Chang,OT5,Malaysia,GRP,APEC 18th GRP Conference,613.5,FY25,Economic Growth (Other),In-kind,Host Country-based,2025-08-06,2026-02-23T07:48:16.912658
Federation of Thai Industries,OT5,Thailand,Digital Standards,Workshop on Digital Standards: Shaping the Future of Standardization,1274.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-07-27,2026-02-23T07:48:16.912658
Coupang,OT5,U.S.,Digital Trade,Digital Trade Policy Dialogue,1998.5,FY25,Economic Growth (Other),In-kind,US-based,2025-08-06,2026-02-23T07:48:16.912658
Specialized Bicycle,OT5,U.S.,TBT,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,1493.75,FY25,Economic Growth (Other),In-kind,US-based,2025-07-28,2026-02-23T07:48:16.912658
Specialized Bicycle,OT5,U.S.,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,1493.75,FY25,Economic Growth (Other),In-kind,US-based,2025-08-01,2026-02-23T07:48:16.912658
Consultores Internacionales Ansley    ,OT5,New Zealand,TBT,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,1745.25,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-07-28,2026-02-23T07:48:16.912658
Consultores Internacionales Ansley    ,OT5,New Zealand,Supply Chains,APEC 17th A2C2 Meeting,1745.25,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-08-02,2026-02-23T07:48:16.912658
Akin Gump,OT5,U.S.,TBT,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,1553.25,FY25,Economic Growth (Other),In-kind,US-based,2025-07-28,2026-02-23T07:48:16.912658
Akin Gump,OT5,U.S.,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,1553.25,FY25,Economic Growth (Other),In-kind,US-based,2025-08-01,2026-02-23T07:48:16.912658
SAE Industry Technologies Consortia,OT5,U.S.,Digital Standards,Workshop on Digital Standards: Shaping the Future of Standardization,1440.5,FY25,Economic Growth (Other),In-kind,Third Country-based,2025-07-27,2026-02-23T07:48:16.912658
Wilmer Cutler Pickering Hale and Dorr LLP,OT5,U.S.,FTAAP,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,1998.5,FY25,Economic Growth (Other),In-kind,US-based,2025-08-01,2026-02-23T07:48:16.912658
A2Z,OT5,Australia,,,982.1,FY26,Economic Growth (Other),In-kind,US-based,2026-02-11,2026-02-23T07:48:16.912658
,OT5,,,,,,,,,,2026-02-23T07:48:16.912658
