Economy,Economy Name,Economy_List,Engagement,Engagement ID,Engagement ID_List,Fiscal Year,Last Updated,Organization Type,Title,Workshop_List,Workstream,Workstream Name,Workstream_List
['recpZloXb0mHklgbP'],['U.S.'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Boeing,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recpZloXb0mHklgbP'],['U.S.'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Stendard ,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recpZloXb0mHklgbP'],['U.S.'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Davidson Technologies,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recpZloXb0mHklgbP'],['U.S.'],,"['recyeMjbHskbfgqpX', 'recjbjufeRVc2tKAJ']","['recyeMjbHskbfgqpX', 'recjbjufeRVc2tKAJ']",recyeMjbHskbfgqpX|recjbjufeRVc2tKAJ,['FY25'],2026-05-04T09:13:07.713408,Non-Profit,ASTM International,Workshop on Digital Standards: Shaping the Future of Standardization|APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,"['recO6Wye9q46CaYxb', 'recqvqMEpTfZTKevx']","['Digital Standards', 'TBT']",Digital Standards|TBT
['recwq4aSF2E8X1P3p'],['Japan'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Non-Profit,Japanese Standards Association Group ,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recpZloXb0mHklgbP'],['U.S.'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Private Sector,SAE Industry Technologies Consortia,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recvtcFSy8f16YKTN'],['Singapore'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Non-Profit,International Council on Systems Engineering Singapore Chapter,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['reczwsj3w3jbWwsBU'],['Thailand'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Private Sector,The Federation of Thai Industries,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['reci4ErOAxmFqyIcC'],['Other'],,"['recyeMjbHskbfgqpX', 'recEQoIBeNaGiEj6E', 'recGbAWjab3MvqJkd', 'recRhdWvXQ0jWT82u']","['recyeMjbHskbfgqpX', 'recEQoIBeNaGiEj6E', 'recGbAWjab3MvqJkd', 'recRhdWvXQ0jWT82u']",recyeMjbHskbfgqpX|recEQoIBeNaGiEj6E|recGbAWjab3MvqJkd|recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Intergovernmental,Organisation for Economic Co-operation and Development,Workshop on Digital Standards: Shaping the Future of Standardization|Digital Trade Policy Dialogue|Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases|APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,"['recO6Wye9q46CaYxb', 'rece5twihWGNiY0bI', 'recIze3I0sDtjtxap', 'recx8jdfEcebA5nAS']","['Digital Standards', 'Digital Trade', 'Services', 'Trade Data']",Digital Standards|Digital Trade|Services|Trade Data
['recoRkWHSHlENX2lz'],['Republic of Korea'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Government,Korea Testing Laboratory ,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recDqTNOBKhjhCrKi'],['Australia'],,"['recyeMjbHskbfgqpX', 'recqu5zwikr83XTIf']","['recyeMjbHskbfgqpX', 'recqu5zwikr83XTIf']",recyeMjbHskbfgqpX|recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Government,Standards Australia,Workshop on Digital Standards: Shaping the Future of Standardization|APEC 18th GRP Conference,"['recO6Wye9q46CaYxb', 'recXoua58VswegNYn']","['Digital Standards', 'GRP']",Digital Standards|GRP
['reckjm7JH9PAcSfTJ'],['Canada'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Government,Standards Council of Canada,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recAWVQLF8Zspmy2t'],['Mexico'],,['recyeMjbHskbfgqpX'],['recyeMjbHskbfgqpX'],recyeMjbHskbfgqpX,['FY25'],2026-05-04T09:13:07.713408,Government,Department of Standards,Workshop on Digital Standards: Shaping the Future of Standardization,['recO6Wye9q46CaYxb'],['Digital Standards'],Digital Standards
['recpZloXb0mHklgbP'],['U.S.'],,"['recjbjufeRVc2tKAJ', 'recOnf2sxH7keZrHn', 'rec4Beub5QxIVTj0G', 'recoX3naiW5GDsnIX', 'recEQoIBeNaGiEj6E', 'recGbAWjab3MvqJkd', 'recRhdWvXQ0jWT82u']","['recjbjufeRVc2tKAJ', 'recOnf2sxH7keZrHn', 'rec4Beub5QxIVTj0G', 'recoX3naiW5GDsnIX', 'recEQoIBeNaGiEj6E', 'recGbAWjab3MvqJkd', 'recRhdWvXQ0jWT82u']",recjbjufeRVc2tKAJ|recOnf2sxH7keZrHn|rec4Beub5QxIVTj0G|recoX3naiW5GDsnIX|recEQoIBeNaGiEj6E|recGbAWjab3MvqJkd|recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Government,Office of the United States Trade Representative,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs|APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin|APEC Workshop on Services Technical Standards Development: The Process and Impact|APEC 17th A2C2 Meeting|Digital Trade Policy Dialogue|Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases|APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,"['recqvqMEpTfZTKevx', 'reckuD4pDTWtZesJN', 'recIze3I0sDtjtxap', 'rece5twihWGNiY0bI', 'recj4G8RWTsTnomP6', 'recx8jdfEcebA5nAS']","['TBT', 'ROO', 'Services', 'Digital Trade', 'Supply Chains', 'Trade Data']",TBT|ROO|Services|Digital Trade|Supply Chains|Trade Data
['reci4ErOAxmFqyIcC'],['Other'],,"['recjbjufeRVc2tKAJ', 'recOnf2sxH7keZrHn']","['recjbjufeRVc2tKAJ', 'recOnf2sxH7keZrHn']",recjbjufeRVc2tKAJ|recOnf2sxH7keZrHn,['FY25'],2026-05-04T09:13:07.713408,Intergovernmental,World Trade Organization,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs|APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,"['recqvqMEpTfZTKevx', 'reckuD4pDTWtZesJN']","['TBT', 'ROO']",TBT|ROO
['recAWVQLF8Zspmy2t'],['Mexico'],,"['recjbjufeRVc2tKAJ', 'recOnf2sxH7keZrHn']","['recjbjufeRVc2tKAJ', 'recOnf2sxH7keZrHn']",recjbjufeRVc2tKAJ|recOnf2sxH7keZrHn,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Ansley International Consultants,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs|APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,"['recqvqMEpTfZTKevx', 'reckuD4pDTWtZesJN']","['TBT', 'ROO']",TBT|ROO
['recNBQMP8u1F5grz8'],['Chile'],,"['recjbjufeRVc2tKAJ', 'recoX3naiW5GDsnIX']","['recjbjufeRVc2tKAJ', 'recoX3naiW5GDsnIX']",recjbjufeRVc2tKAJ|recoX3naiW5GDsnIX,['FY25'],2026-05-04T09:13:07.713408,Government,Undersecretary of International Relations,APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs|APEC 17th A2C2 Meeting,"['recqvqMEpTfZTKevx', 'recj4G8RWTsTnomP6']","['TBT', 'Supply Chains']",TBT|Supply Chains
