Economy,Fiscal Year,Total Agenda Hours,Engagement ID,# of days,Feedback Form Link,Mode,End Date,Economy (Name),Location,Workstream (Name),Workstream,Workshop Title,Start Date,OC4 Market Growth 2,Stakeholders Reference List,Agenda,Last Updated,Sign-In Form Link
['rec2SfojMouQz838n'],FY25,10.08333333,recyeMjbHskbfgqpX,2,https://apec-rise.jotform.com/team/us-apec-rise-mande/digital_standards_feedback_jul_2025,In-Person,2025-07-28,Republic of Korea,"Incheon, Korea",Digital Standards,['recO6Wye9q46CaYxb'],Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,,"['recOIRTHTHf9rcxAD', 'recoEEl6ZhISpAPSv', 'recaga1oewFw4Ngxf', 'recdBHuumJ0or3Stv', 'reczjwpzDHfZyL16B', 'recigioaFBso3zQNr', 'recHJZKjmU067qa6f', 'recE1VJmcS8Od6YMm', 'reccDm3CcNO26XguL', 'receXKWyNfV0tnYwi', 'reca9Dn5b4Jym6be5', 'rec9tbDf7f7RDZaPt', 'recuNGpJXmUaN9WgD', 'recNEu1stMeNscbtF']","[{'id': 'atts1Ec8HAlRYRq2F', 'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/ghBjS2G0A_WOCUYkZf4Ujg/fgbDzSaVInoyceKAhWfTe8oe5cpB2njwextVJhQUX4ZZ1t29T7xuktSKSZv33I_Ta_fWslxg0A52_rmWo0XbAoua1HpsGQfTea-hdkxqwrVpHWyorGMV-RRFcMYOYWAkTBIcVqjuC0a5HeggwMZcYj19-E3AZZs6u6Pi0EA9R9vPGRVPGCs2mhEdMdr_AfPH/xPOIyNINToE-DNJTn0hq4X5nRCbaf7hdWiIRch3Gd4M', 'filename': 'Agenda - Digital Standards Workshop.pdf', 'size': 296856, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/eKEEV7GLautS59xm-HPpcQ/gQeQIGndYs0Y3tATXNDFtXyVELPQpv-Estwdn84Oisvv3psoLapi71RtUv_e4JacuwNv6ehd-qkRm694yinKhMCEOUcQ8e8HGHx06rdpT6rg72vn4PZJfH4gvuFileHICZwj-R_Yoy32ntNejUUHMA/5rW7yfrOLivF_IVTu-sW83gkw_Dd7W9UF0h1ZZjBlts', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/lZZ-67qOafrX_0b1IicUwg/dASuPk8qIBItrDQVhwUPZzjnFWV-o8tGHsbm8d3WmxAL2MoJDg5cYTHxjKKnjrXtmPul2Xe0mDJMiGxohcbOC1HKgPi_8wxMHOeyQsQT5pvT4NJTvv3xU9rTpuYiMSD8F2fnrs2rUZ6nnkFXFWw40w/96zy6lVoh0bTUDBl36fHBy2Ivyz9UrXNpBzhEBq6FsA', 'width': 512, 'height': 663}}}]",2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/digital_standards_workshop_jul_2025
['rec2SfojMouQz838n'],FY25,11.41666667,recjbjufeRVc2tKAJ,2,https://apec-rise.jotform.com/team/us-apec-rise-mande/TBT_feedback_jul_2025,In-Person,2025-07-29,Republic of Korea,"Incheon, Korea",TBT,['recqvqMEpTfZTKevx'],APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,['recA5nNbixngXnO9R'],"['recSslaYMRAm8K5vU', 'rech7qQ4lmSAEsSzd', 'recvCw3U2eqVUQvTb', 'recvlkKSEGtNrGefE', 'recpkHplIFzfvxbsV', 'rec0LLVSxLFGYpr2R', 'recHOOqkKMUZWSr9e', 'recmA9dzBuVYRMIjW', 'recE1VJmcS8Od6YMm', 'rechhAFC0ltCBsMvN', 'recWQRzAurCKvitfX', 'recSmPsQRNx8EVNqa', 'recPjArKd7D08J4fX', 'recu0LpeVFBpm4JBg', 'reco4iFUfw08Vg6UC']","[{'id': 'attUnCPZKVJHAMsU3', 'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/ONaJXiemXP905VeoQPVJIg/uwAuXAocGoHRoGnMNqxUavs2r9PCyX7aojlxmsuq_6iP1K7N6-QF-CzNWNOY8ehSGHzUAqgYnQq8POgQq3VBNZmlyog20bXOjit_fSuXXIfw0Oss1bHmh1enJrqXQf5FEw6bzgnAWg9joLBceh3m4cmWepZ4y6JXQxoQ5IkJ0Yg/_PAqZepHTiXIIEv_7COaouHIel0fACJgbtOT8HpbNy4', 'filename': 'Agenda - TBT Workshop.pdf', 'size': 252962, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/ViJU17geK8iFQNEEOV8g-g/5jkHeOmlDf4Cqf2kJcIdQYKZYN94hciW5MUHs269Ykwtm_HM0ar5U2b5vTA5_5JYtyKQW1Ngekk1WpSVe8N0n7fkEMy86CAtvnlcp1FZeEb7wFrq-wxrl1lyWRISI1vxSmqTIPx1M-rk8K4V1KtuKw/2jy_UKFFEtWOvSMNGLuyqwxrCx-4mx7uG6T3hFXsEXM', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/XMZLiJb88ROSGAgKHyQtZA/nVQHP9UFRFqLvhdJiqR1RdgpzVcHlMXK404-zogydAKijeofp9_YbDNKN5IphgAYift1K_u1j8lY9xdUs9zdkswQ7aaQsL6i7V8_KZvtIw6brbUgW4Su7J3Liguh145mr4kcN89ebEJ3a0wF0YpZ0w/KvY6mtY8nJvFEVr934vDUK6MjLqRpUblPzSsXmIJ_G4', 'width': 512, 'height': 663}}}]",2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/tbt_workshop_jul_2025
['rec2SfojMouQz838n'],FY25,3,recuPTF8nuXgFqIX5,1,https://apec-rise.jotform.com/team/us-apec-rise-mande/cloud_feedback_aug_2025,In-Person,2025-07-31,Republic of Korea,"Incheon, Korea",Cloud Computing,['rec8X4hhBa5cOnk18'],Workshop on Advancing Cloud Transformation,2025-07-31,,"['recnklxK1PeifzpK0', 'reciwoNLTtpfoAJ98', 'recqEtJXwrpDqh82N', 'recGDm6cxlmOPGduS', 'recoAkSDCgboqHCI9', 'reca3tj4dxyM5wj5t', 'recU280V3yMwWlUUG', 'recMpgwGKtKZtxjZP', 'recuvxeDKf85RnjrC']","[{'id': 'attcbdIh0HZmtspMX', 'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/JdhyLBXVIUFL66umvuZWNA/EF4SlHaqQ8Amc8f253AqX3CHjTLpHbgwhazBOsOlqsUt7QDg_ktVKvIQjyF4F6M_0BS2w6bDftosRrR13S-W6iMIDg3mzcH2PJTSdTXyh9_aWu9U1i_LJeaPp3LjYvDGZNbaDlGUVDrPyT5wtwjE9bQ-U6P3VOrkDoou-mGf4Ug/MsBs9j-d1tNkDWwUL9woFt3b_Dix6_Sv5AM35XkpZSk', 'filename': 'Agenda - Cloud Workshop.pdf', 'size': 337089, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/ug7609a4jroaP1yJ5nzpLg/iJyfYu9LHfdgh3kVVVNNaVnoEu_6zSd_K6D8QqEQVl9ZvqPZ-7SeEwG6pRcvEfvS7ARw1hDxp4Y3Agc2Tsy-8Kt-dfgm6EW3YdMAsasKzhWGBIE2eeJcHWL9qx6fIVaMOVaYoUWlwejoZcVHJQqrSg/uHSbVcdij-OZ1oBLgPKbHGCdobQD76tysiRt0jLl0lA', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/ZD_rQG8-tGRPxU_KgoPudw/uwpqXElprIk5L9I34ps9tUiarAbsB-OriEc4FOr12qSr1nsFqVRyrBD_fCP187XVzQpiVS-U8bHyRZSzFsHjTKs2RTH7-PnwEpNC6HZgoVqjEOZJAcnqDlYkOwAwdlYNSXn8sRhi6ZPhgLBtdTQqgQ/RCK1OnJuy716y4IxJdnPp3XkISW-gbaOOfK9mmjP1nE', 'width': 512, 'height': 663}}}]",2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/cloud_workshop_jul_2025
['rec2SfojMouQz838n'],FY25,11,recOnf2sxH7keZrHn,2,https://apec-rise.jotform.com/team/us-apec-rise-mande/ftaap_feedback_aug_2025,In-Person,2025-08-02,Republic of Korea,"Incheon, Korea",FTAAP,['reckuD4pDTWtZesJN'],APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,,"['recSslaYMRAm8K5vU', 'rech7qQ4lmSAEsSzd', 'reczLTHjmVmHiQTJa', 'recApEposmkRkY9Z2', 'recaqOCbdnpCw3OlX', 'recWnE5e8RGENJQe4', 'recvCw3U2eqVUQvTb', 'rec5IcUjacvM0AJgy', 'recmA9dzBuVYRMIjW', 'reccU3ES2zHqE0m01', 'recpkHplIFzfvxbsV', 'reclmYMSAaKpCp1oZ', 'recPfAb082EJjuvpK', 'recSmPsQRNx8EVNqa']","[{'id': 'attMcU7phwDVqWggc', 'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/UJhit-otXJw9ZBdSKlP3_w/VoE6MsAligIfzCWE8AEMoL4tm31rkHVXYSTkMvX0pkeUyBlGRDx_zSROj-5_BC3Oq2AeZvIe1GmB6GHA4tUZqHVRsgqDknOjwFmNyRQqW_6ur7uPRTk6BT4dNSX8E6UIna2s9tcSuiztob1tjJmuYd48rtRwk9jnr-B4vN_it0g/0pi7ffP0xBjTNE1rjFHf-E0U62DeDmGAhHlHUSq1U2k', 'filename': 'Agenda - FTAAP Workshop.pdf', 'size': 249414, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/6Qn0UsPb2YGqxhoTjxlIaQ/kKmPgx9qGiC0ZN6qHpyfSYWeg2DvQLgmYoZq30W0x7TbuJMYyfbsju6TXm21kX88EGlvvNVNiOG9XfR-4dd2j8mHCZHzVWqqp8Sv_eL1bincz4XdzC_1gxPs42xwl3Zk9AlkzSz1xFifE66_mT7QHw/kn1uLos3PHN05QhVszwL0RSQUFSLm-0wes9CzFvF4cU', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/x6Oupga_FoSJEpq5_DdTsg/2iO6-tyBTpG-VStHOgSIkg4Jpfm9pFOA110qoUWQUN7F1-EQ5VPwF2udHPccA3cv00LBZPhhbji-99DgqSTVyfNVVP1SXA_yMcs0lAQLZNNvMUmaFSA55T81R_gkGTiEnbE9_2RzKoSehpPnpKA1Uw/IUlqKbpk7EjooOpCBCWyIlkc-Vs7TfiW1qWqP2LHYFY', 'width': 512, 'height': 663}}}]",2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/ftaap_workshop_aug_2025
['rec2SfojMouQz838n'],FY25,0,recoX3naiW5GDsnIX,1,https://apec-rise.jotform.com/team/us-apec-rise-mande/a2c2-meeting-feedback-form,In-Person,2025-08-02,Republic of Korea,"Incheon, Korea",Supply Chains,['recj4G8RWTsTnomP6'],APEC 17th A2C2 Meeting,2025-08-02,,"['rec5IcUjacvM0AJgy', 'recgqaV2PgmqcxvO2', 'rec6QX5tMOrnYtcXr', 'recSslaYMRAm8K5vU', 'recApEposmkRkY9Z2', 'recEFhzc01N7eEOjK', 'recNHumqaAgIEZAUA', 'rec6er3RYhOsTTcwC', 'rec6f1cGLFH7LE8u1', 'recjTW7DygQ5AggDK', 'recj709IZVRpcZ9pm', 'recpkHplIFzfvxbsV', 'recvlkKSEGtNrGefE', 'recuNGpJXmUaN9WgD', 'rec1pOPXHkxe4i76m', 'rec0xGfJYYLD4LCVV']",,2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/a2c2_meeting_aug_2025
['rec2SfojMouQz838n'],FY25,3.25,rec4Beub5QxIVTj0G,1,https://apec-rise.jotform.com/team/us-apec-rise-mande/services_feedback_aug_2025,In-Person,2025-08-05,Republic of Korea,"Incheon, Korea",Services,['recIze3I0sDtjtxap'],APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,,"['recSslaYMRAm8K5vU', 'rec99eMWQbeWTl9CF', 'rec9k0Q6dtntaxbNd', 'recfF77JMlkxwLMJP', 'recVQZPY1LciOVgd3', 'recuTkArzkXqE0lsl', 'rec51RpLZ9dTGsc6q']","[{'id': 'attSEwA3Jc4Pm2ugZ', 'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/iZFH8dxEUo6CbWpGZrl7ww/bXZ807_HTMFDftl2DiNHND-Fflc0l5M19vYeGvAhZUa_QkgK5fE3Fdql4r2_HU8mFN4YstJZsz9FwV9OQDpa5WTbJw5tx55a7xlaFHfyOs-iVwo6FDxDSmWxF9wZazcs4QyESMVWyCkoxxvqoJUFqE3qptXZqDJoBUc9G1aqlxRO2dfRMAayn8NlmzvCaZckEHiJ6VP44qQYynkULS42hA/HyjYCN1nSN2cJI_za5dq2HSHGPJuLkBEOstexDeeswI', 'filename': 'Agenda - Services Technical Standards Workshop.pdf', 'size': 250391, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/LaEZQKMi-fgkvj_2jdP-kg/k7tQMKIeUQA6snDe0o-AFTOGZw64T5gLigZN2xCuG2QMlLczwWQ8E-I6iKcLeW2zXyelxbAA0BC2POHjENFGsDUPVhCocdWxWBpvm1acZmjJIwLSuAK2MIOjORVES07c4Sq3aEMtbjojNOgDKbPpAw/yK14BPkI8TD_GXApGg9CVYWk00TvmKoyQL9lcm6uJnA', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/6t4I1PKFMuUj4EEnQ8OqLQ/Df3bXLkBhOF3IXHmmm0FXbyYAyPIaB15D43NttVBV-NslrdNAEl4QrPu6vwKDlJvbHw4IKoUNSiorB4YyHbh2j72fHm_k55bQWspKlC8aTK8a6W9PBSPz6_JcurZGPzim4cqQAYmipSidtDThXj1Jw/-GUhjAoe-YGc3BMF0aI-4LNZQl1HtTh8Kj3I5c0RTf0', 'width': 512, 'height': 663}}}]",2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/services_workshop_aug_2025
['rec2SfojMouQz838n'],FY25,0,recEQoIBeNaGiEj6E,1,,In-Person,2025-08-06,Republic of Korea,"Incheon, Korea",Digital Trade,['rece5twihWGNiY0bI'],Digital Trade Policy Dialogue,2025-08-06,,"['rectScavisNFy6fGn', 'recSslaYMRAm8K5vU', 'reccDm3CcNO26XguL', 'recJ0vpUBv8rbzlZG', 'rec4sUrJk4xBi5MGo', 'recVrLiBY0jWhzyxb', 'rec0xGfJYYLD4LCVV']",,2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/dtpd_aug_2025
['rec2SfojMouQz838n'],FY25,0,recqu5zwikr83XTIf,2,,In-Person,2025-08-07,Republic of Korea,"Incheon, Korea",GRP,['recXoua58VswegNYn'],APEC 18th GRP Conference,2025-08-06,,,,2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/grp_conference_aug_2025
['rec2SfojMouQz838n'],FY25,3,recGbAWjab3MvqJkd,1,https://apec-rise.jotform.com/team/us-apec-rise-mande/services_index_feedback_aug_2025,In-Person,2025-08-08,Republic of Korea,"Incheon, Korea",Services,['recIze3I0sDtjtxap'],APEC Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,,"['recSslaYMRAm8K5vU', 'rec99eMWQbeWTl9CF', 'reccDm3CcNO26XguL', 'recKsiaxO3alOEnck', 'recprKQxY71eA9nyw', 'recHIK5kaYss8UwSJ']","[{'id': 'atthipIRoRsJSfTE6', 'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/L7InnCHUhucqpm0-vOelTQ/-s82Cp-aSAsfgFpdKIwzqqUNf1O1EAfPNXKNXrRG7oWTUDn3bXY0Q6Of-lBWGPwOURX54kAk7bBjJPhxMCALaFyV2a2X5-jeCzu-oALg4Z-f5j8bi-6ScQmeS5fyxlWrWx69j8MkbE6jY0e2Rw2VARvW58kjCWIPvQnPRPIDCQQoXWf80JW82gsAULjDZfGT/QNYLMhO2k7Nv-f5AW3V-Fk9ZEBCZ2iYuvk8uYZUS51s', 'filename': 'Agenda - Services Index Workshop.pdf', 'size': 275446, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/RGayQDEBCJhhQTwcChYw1A/Xpw5swtC-1YfRob2h50TqDhthB3yotWSXZqULDrKsNzr7Nxc3pNCqXfcPocKKR090yeZ6RpJ5mD6QytUeeNRjmkd1Guue2NYfjPINLBsJPI5kmm4bUGpbLCwGLBSOLUrFy_FuT-i_ifc3e_6frEB-Q/-RE-4rHMOAlwCyDHiiG3yF6dGUNEuxGs3UZVOGqYcwQ', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/45/45/1758016800000/wjBL_8y_x2lV5S0BfLbEPg/CfSIq__f0CN8cpxOLiam4Lm9Qe0IuIDbnp_X2eBsys-PvXBQrB5PtKKkP9hXbawrL7Ja7MaK7s3D3lwM7EBmX6WwHk7Co9aBuUOLCjC0XFAjrKVwQwmBjzTvjJRkBR6d9-rcHngAUFGUeVP1lC4OVg/JWiLS-X1XDkjC8VYyM5MGaHMOOTV62tHEDmQC28yyE0', 'width': 512, 'height': 663}}}]",2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/services-index-workshop_aug_2025
['rec2SfojMouQz838n'],FY25,,recRhdWvXQ0jWT82u,2,https://apec-rise.jotform.com/team/us-apec-rise-mande/trade_data_feedback_aug_2025,In-Person,2025-08-09,Republic of Korea,"Incheon, Korea",Trade Data,['recx8jdfEcebA5nAS'],APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-08,,"['recSslaYMRAm8K5vU', 'recPV9TBxvvbMLOe9', 'recBtFlQaMvSTkp77', 'recODwtGMgVNgcJBM', 'recWYJVqUkZROMPRV', 'recKsiaxO3alOEnck', 'recncsiDoNhoncj6p', 'recM4CwXiDgH5g94I', 'reccDm3CcNO26XguL', 'rec74NH8Yfn8yhQ7v']",,2025-09-16T07:11:15.239224,https://apec-rise.jotform.com/team/us-apec-rise-mande/trade_data_workshop_aug_2025
