Assumption,Monitoring Tool,Economy,Workstream,Level,Date,Signal,Status,Confidence Index 1 (Percent),Confidence Index 2 (Count),Notes
Political and institutional continuity,Attendance,Australia,All,Economy,2025-12-17,Australia attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Brunei Darussalam,All,Economy,2025-12-17,Brunei Darussalam attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Canada,All,Economy,2025-12-17,Canada attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Chile,All,Economy,2025-12-17,Chile attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Chinese Taipei,All,Economy,2025-12-17,Chinese Taipei attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Japan,All,Economy,2025-12-17,Japan attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Malaysia,All,Economy,2025-12-17,Malaysia attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Other,All,Economy,2025-12-17,Other attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Papua New Guinea,All,Economy,2025-12-17,Papua New Guinea attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,People's Republic of China,All,Economy,2025-12-17,People's Republic of China attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Peru,All,Economy,2025-12-17,Peru attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Republic of Korea,All,Economy,2025-12-17,Republic of Korea attended 2/5 most recent dialogues,baseline,40.0,2,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Russia,All,Economy,2025-12-17,Russia attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,Singapore,All,Economy,2025-12-17,Singapore attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,The Philippines,All,Economy,2025-12-17,The Philippines attended 1/5 most recent dialogues,pessimistic,20.0,1,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,United States of America,All,Economy,2025-12-17,United States of America attended 3/5 most recent dialogues,optimistic,60.0,3,"CI1 = % of last 5 dialogues attended. CI2 = number of dialogues attended (0–5). Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
Political and institutional continuity,Attendance,APEC (aggregate),All,Aggregate,2025-12-17,"On average, economies attended 1.6/5 recent dialogues",baseline,31.2,2,"CI1 = % of last 5 dialogues attended (aggregate). CI2 = average number attended. Thresholds: Optimistic ≥60, Baseline 30–59, Pessimistic <30."
