Fiscal Year,Fiscal Quarter,Economy,City,Workshop,Sex,Sector,Workstream,Person-Hours
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Female,Government,FTAAP,198.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Female,Multilateral,FTAAP,22.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Female,Private Sector,FTAAP,0.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Male,Government,FTAAP,132.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Male,Intergovernmental,FTAAP,66.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Male,Private Sector,FTAAP,22.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,Female,Government,Trade Data,0.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,Male,Government,Trade Data,0.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,Male,Intergovernmental,Trade Data,0.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Services Technical Standards Development: The Process and Impact,Female,Government,Services,26.0
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Services Technical Standards Development: The Process and Impact,Female,Intergovernmental,Services,6.5
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Services Technical Standards Development: The Process and Impact,Female,Non-Profit,Services,6.5
FY25,FY2025-Q4,Unknown,Unknown,APEC Workshop on Services Technical Standards Development: The Process and Impact,Female,Private Sector,Services,3.25
