Dimension,Category,Person-Hours
Fiscal Year,FY25,1747.9110002
Fiscal Year,FY26,1291.48
Fiscal Year,Unknown,0.0
Fiscal Quarter,FY25 - FY2025-Q4,1747.9110002
Fiscal Quarter,FY26 - FY2026-Q3,938.61
Fiscal Quarter,FY26 - FY2026-Q4,352.87
Fiscal Quarter,Unknown - FY2026-Q3,0.0
Sex,Female,1367.8536668
Sex,Male,1671.5373334
Sex,Prefer not to answer,0.0
Sector,Academia,104.42666668
Sector,Government,2106.51533349
Sector,Intergovernmental,155.58233334
Sector,Multilateral,22.0
Sector,NGO,35.84
Sector,Non-Profit,129.17000001
Sector,Private Sector,419.54666668
Sector,Think Tank,46.81
Sector,Unknown,19.5
Economy,Unknown,3039.3910002
