Question,Sentiment,Count,Percent
Relevance to Work,Positive,16,94.11764705882352
Knowledge Gain,Positive,16,94.11764705882352
Sharing Intent,Positive,15,88.23529411764706
Application Intent,Positive,13,76.47058823529412
Sharing (Open Text),Positive,12,92.3076923076923
Applications (Open Text),Positive,12,92.3076923076923
Challenges Addressed,Positive,10,71.42857142857143
Application Intent,Neutral,4,23.52941176470588
Challenges Addressed,Neutral,4,28.57142857142857
Sharing Intent,Neutral,2,11.76470588235294
Applications (Open Text),Negative,1,7.6923076923076925
Knowledge Gain,Neutral,1,5.88235294117647
Relevance to Work,Neutral,1,5.88235294117647
Sharing (Open Text),Negative,1,7.6923076923076925
