Word,TotalFrequency
share,49
policy,25
team,21
recommendation,17
work,15
colleague,12
workshop,12
learn,10
plan,9
use,9
discussion,8
inform,8
report,8
internal,7
apply,7
relevant,6
meet,6
project,6
agency,6
economy,6
development,6
into,6
government,6
lesson,6
key,6
information,5
issue,5
through,5
system,5
incorporate,5
organization,5
meeting,5
develop,5
make,5
process,4
concept,4
material,4
session,4
support,4
update,4
apec,4
especially,4
management,4
when,4
together,4
worker,4
client,3
back,3
implementation,3
toolkit,3
tool,3
knowledge,3
how,3
college,3
take,3
strategy,3
within,3
industry,3
idea,3
event,3
engagement,3
need,3
organize,3
note,3
public,3
design,3
research,3
resource,3
during,3
train,3
engage,3
labor,3
help,3
document,3
circulate,2
chair,2
certificate,2
bos,2
application,2
adoption,2
also,2
among,2
awareness,2
transport,2
association,2
activity,2
better,2
cascade,2
build,2
discus,2
effort,2
example,2
national,2
element,2
other,2
operate,2
person,2
people,2
only,2
practical,2
security,2
member,2
propose,2
reference,2
readout,2
regulatory,2
stakeholder,2
specific,2
some,2
professional,2
protection,2
different,2
data,2
cyber,2
debrief,2
prepare,2
practice,2
board,2
digitalization,2
education,2
integrate,2
further,2
future,2
gain,2
experience,2
innovation,2
group,2
framework,2
greater,2
learning,2
leadership,2
link,2
joint,2
good,2
many,2
input,2
increase,2
implement,2
inclusive,2
importance,2
host,2
here,2
technical,2
teach,2
talent,2
takeaway,2
workforce,2
who,2
university,2
well,2
understand,1
2027,1
a2c2,1
urban,1
urgent,1
usecases,1
usg,1
usrise,1
value,1
via,1
vocational,1
way,1
what,1
while,1
between,1
bring,1
brown,1
bureau,1
capacity,1
carry,1
challenge,1
checklist…share,1
staff,1
standard,1
state,1
your,1
accountability,1
begin,1
behalf,1
best,1
several,1
should,1
skill,1
small,1
sme,1
social,1
southeast,1
specificalized,1
roundtable,1
rountable,1
rulenof,1
say,1
scalable,1
see,1
service,1
sessiontraining,1
growth,1
guidance,1
guideline,1
handson,1
have,1
health,1
hear,1
interest,1
focus,1
forcus,1
format,1
formation,1
get,1
give,1
governance,1
govt,1
interagency,1
exchange,1
expand,1
explore,1
externally,1
felt,1
finding,1
first,1
include,1
infrastructure,1
infront,1
inhouse,1
initiative,1
inside,1
insight,1
intend,1
ecosystem,1
effective,1
employer,1
employment,1
encourage,1
ensure,1
enterprise,1
evaluate,1
digitization,1
disability,1
disseminate,1
domestically,1
draft,1
draw,1
each,1
econamies,1
leverage,1
life,1
linkedin,1
literacy,1
look,1
main,1
manforce,1
manufacturer,1
internalcolleagues,1
internally,1
know,1
knowledgesharing,1
lack,1
lead,1
leader,1
level,1
one,1
ongoing,1
operator,1
opinion,1
opportunity,1
order,1
origin,1
out,1
naturally,1
necessary,1
needtohknow,1
network,1
newletters,1
notion,1
office,1
official,1
method,1
mexican,1
ministry,1
mobilization,1
monthly,1
msmes,1
mtg,1
mutual,1
everything,1
evidencebased,1
market,1
matter,1
matterials,1
may,1
measure,1
medium,1
context,1
contingency,1
continue,1
cooperate,1
cooperation,1
critical,1
currently,1
curriculum,1
communication,1
company,1
comprehensive,1
concern,1
conduct,1
consider,1
consideration,1
content,1
pmu,1
podcast,1
position,1
post,1
present,1
prioritise,1
priority,1
common,1
outcome,1
outline,1
overall,1
oversight,1
particular,1
partner,1
perform,1
pertain,1
reinforce,1
relate,1
relevance,1
replicate,1
responsible,1
right,1
roadmap,1
role,1
rather,1
real,1
recomendations,1
recommend,1
reecho,1
refer,1
regard,1
regional,1
processess,1
productivity,1
promote,1
proof,1
proposal,1
propousing,1
provide,1
proyects,1
custom,1
cybersec,1
cybersecurity,1
department,1
dialogue,1
dicussed,1
digital,1
procedure,1
assistant,1
audience,1
audit,1
automatically,1
bag,1
balance,1
ông,1
wom,1
airelated,1
all,1
analysis,1
another,1
approach,1
area,1
asean,1
asian,1
statement,1
step,1
action,1
adapt,1
adopt,1
advice,1
advocate,1
about,1
chinese,1
cladec,1
clearer,1
cochair,1
coleagues,1
collaborate,1
collaboration,1
come,1
transparency,1
high,1
highlight,1
house,1
human,1
hygiene,1
impact,1
improve,1
summary,1
taipei,1
than,1
theme,1
they,1
thing,1
topic,1
traffic,1
be,1
strategic,1
structure,1
struggle,1
student,1
study,1
subject,1
successful,1
workflow,1
workplace,1
workplacebased,1
workshop’s,1
would,1
year,1
yes,1
basis,1
