Word,Source,Frequency,TotalFrequency
share,Applications (Open Text),10,18
share,Sharing (Open Text),8,18
workshop,Applications (Open Text),3,8
workshop,Sharing (Open Text),5,8
update,Applications (Open Text),6,7
update,Sharing (Open Text),1,7
negotiation,Applications (Open Text),5,7
negotiation,Sharing (Open Text),2,7
roo,Applications (Open Text),5,6
work,Applications (Open Text),5,6
work,Sharing (Open Text),1,6
team,Applications (Open Text),6,6
policy,Sharing (Open Text),1,6
policy,Applications (Open Text),5,6
roo,Sharing (Open Text),1,6
report,Sharing (Open Text),6,6
colleague,Applications (Open Text),1,4
colleague,Sharing (Open Text),3,4
draft,Sharing (Open Text),1,4
draft,Applications (Open Text),3,4
process,Applications (Open Text),3,4
process,Sharing (Open Text),1,4
through,Applications (Open Text),1,3
internal,Applications (Open Text),1,3
guide,Sharing (Open Text),1,3
guide,Applications (Open Text),2,3
relevant,Applications (Open Text),3,3
recommendation,Applications (Open Text),3,3
origin,Sharing (Open Text),1,3
internal,Sharing (Open Text),2,3
meeting,Sharing (Open Text),3,3
origin,Applications (Open Text),2,3
trade,Applications (Open Text),2,3
trade,Sharing (Open Text),1,3
through,Sharing (Open Text),2,3
provide,Applications (Open Text),1,2
insight,Applications (Open Text),1,2
regard,Applications (Open Text),1,2
presentation,Sharing (Open Text),2,2
provide,Sharing (Open Text),1,2
technical,Sharing (Open Text),1,2
technical,Applications (Open Text),1,2
regard,Sharing (Open Text),1,2
would,Applications (Open Text),2,2
preferential,Sharing (Open Text),1,2
during,Applications (Open Text),2,2
psr,Applications (Open Text),2,2
session,Sharing (Open Text),2,2
insight,Sharing (Open Text),1,2
information,Applications (Open Text),2,2
material,Sharing (Open Text),2,2
knowledge,Sharing (Open Text),2,2
involve,Applications (Open Text),2,2
other,Sharing (Open Text),2,2
preferential,Applications (Open Text),1,2
office,Sharing (Open Text),2,2
day,Sharing (Open Text),2,2
discussion,Applications (Open Text),2,2
inform,Applications (Open Text),2,2
daily,Applications (Open Text),2,2
future,Applications (Open Text),2,2
amendment,Applications (Open Text),1,1
apply,Applications (Open Text),1,1
account,Applications (Open Text),1,1
discuasions,Sharing (Open Text),1,1
development,Applications (Open Text),1,1
department,Applications (Open Text),1,1
deal,Sharing (Open Text),1,1
custom,Applications (Open Text),1,1
could,Applications (Open Text),1,1
coworkers,Sharing (Open Text),1,1
current,Sharing (Open Text),1,1
coordination,Sharing (Open Text),1,1
context,Applications (Open Text),1,1
consider,Applications (Open Text),1,1
correlation,Applications (Open Text),1,1
conduct,Sharing (Open Text),1,1
class,Sharing (Open Text),1,1
collegues,Applications (Open Text),1,1
comply,Applications (Open Text),1,1
anc,Sharing (Open Text),1,1
analysis,Applications (Open Text),1,1
assess,Applications (Open Text),1,1
client,Applications (Open Text),1,1
bring,Applications (Open Text),1,1
back,Sharing (Open Text),1,1
assist,Applications (Open Text),1,1
awareness,Sharing (Open Text),1,1
initiative,Sharing (Open Text),1,1
guidance,Sharing (Open Text),1,1
guideline,Applications (Open Text),1,1
exist,Applications (Open Text),1,1
fta,Applications (Open Text),1,1
feedback,Applications (Open Text),1,1
event,Sharing (Open Text),1,1
echo,Sharing (Open Text),1,1
policiy,Applications (Open Text),1,1
outcome,Applications (Open Text),1,1
paper,Applications (Open Text),1,1
philippine,Applications (Open Text),1,1
offer,Sharing (Open Text),1,1
network,Sharing (Open Text),1,1
option,Applications (Open Text),1,1
official,Applications (Open Text),1,1
level,Sharing (Open Text),1,1
learn,Sharing (Open Text),1,1
i’m,Applications (Open Text),1,1
make,Sharing (Open Text),1,1
matter,Sharing (Open Text),1,1
manner,Applications (Open Text),1,1
may,Sharing (Open Text),1,1
need,Applications (Open Text),1,1
into,Applications (Open Text),1,1
issue,Sharing (Open Text),1,1
give,Sharing (Open Text),1,1
greater,Applications (Open Text),1,1
ftas,Applications (Open Text),1,1
have,Applications (Open Text),1,1
higher,Sharing (Open Text),1,1
help,Applications (Open Text),1,1
incorporate,Applications (Open Text),1,1
include,Applications (Open Text),1,1
incharged,Sharing (Open Text),1,1
impact,Applications (Open Text),1,1
ill,Applications (Open Text),1,1
info,Applications (Open Text),1,1
incountry,Sharing (Open Text),1,1
reflect,Sharing (Open Text),1,1
seminar,Sharing (Open Text),1,1
rule,Applications (Open Text),1,1
section,Sharing (Open Text),1,1
sector,Applications (Open Text),1,1
rool,Applications (Open Text),1,1
request,Applications (Open Text),1,1
revisiing,Applications (Open Text),1,1
review,Applications (Open Text),1,1
proposal,Applications (Open Text),1,1
private,Applications (Open Text),1,1
preparation,Sharing (Open Text),1,1
prepare,Applications (Open Text),1,1
publication,Applications (Open Text),1,1
psrs,Applications (Open Text),1,1
table,Applications (Open Text),1,1
speaker,Applications (Open Text),1,1
train,Sharing (Open Text),1,1
topic,Applications (Open Text),1,1
timely,Applications (Open Text),1,1
submit,Sharing (Open Text),1,1
superior,Sharing (Open Text),1,1
summary,Sharing (Open Text),1,1
take,Applications (Open Text),1,1
use,Applications (Open Text),1,1
what,Sharing (Open Text),1,1
well,Applications (Open Text),1,1
wco,Sharing (Open Text),1,1
version,Applications (Open Text),1,1
usual,Applications (Open Text),1,1
while,Sharing (Open Text),1,1
when,Applications (Open Text),1,1
which,Sharing (Open Text),1,1
